id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
126;BRASIL;4;BBAS11;BR;00.000.000/0001-91;Banco Múltiplo;Financeiro / Intermediários Financeiros / Bancos;www.bb.com.br
127;BRASIL;4;BBAS12;BR;00.000.000/0001-91;Banco Múltiplo;Financeiro / Intermediários Financeiros / Bancos;www.bb.com.br
128;BRASIL;4;BBAS3;BR;00.000.000/0001-91;Banco Múltiplo;Financeiro / Intermediários Financeiros / Bancos;www.bb.com.br
129;BRASILAGRO;1;AGRO3;BR;07.628.528/0001-59;Empresa de Desenvolvimento Agropecuario;Consumo não Cíclico / Agropecuária / Agricultura;www.brasil-agro.com
130;BRASKEM;11;BRKM3;BR;42.150.391/0001-70;Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros.prestação de Serviços Industriais.participação em Outras Sociedades.locação de Bens. Representação/consignação de Produtos Químicos;Materiais Básicos / Químicos / Petroquímicos;www.braskem.com.br
131;BRASKEM;11;BRKM5;BR;42.150.391/0001-70;Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros.prestação de Serviços Industriais.participação em Outras Sociedades.locação de Bens. Representação/consignação de Produtos Químicos;Materiais Básicos / Químicos / Petroquímicos;www.braskem.com.br
132;BRASKEM;11;BRKM6;BR;42.150.391/0001-70;Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros.prestação de Serviços Industriais.participação em Outras Sociedades.locação de Bens. Representação/consignação de Produtos Químicos;Materiais Básicos / Químicos / Petroquímicos;www.braskem.com.br
133;BRAZIL REALT;4;Nenhum ativo na B3;BR;07.119.838/0001-48;(i) Aquisição E Securitização de Créditos Decorrentes de Operações de Financiamento Imobiliário. E (ii) Emissão E Colocação de Certificados de Recebíveis Imobiliários No Mercado Financeiro.;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;www.cyrela.com.br/ri
134;BRAZILIAN FR;4;Nenhum ativo na B3;BR;02.762.113/0001-50;Participação em Outras Sociedades;Financeiro / Serviços Financeiros Diversos / Gestão de Recursos e Investimentos;www.bfre.com.br
135;BRAZILIAN SC;14;Nenhum ativo na B3;BR;03.767.538/0001-14;Securitização de Recebíveis Imobiliários;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;www.braziliansecurities.com.br
136;BRB BANCO;4;BSLI3;BR;00.000.208/0001-00;O Brb É Uma Instituição Financeira de Economia Mista. Controlada Pelo Governo Do Distrito Federal. Organizada Sob A Forma de Banco Múltiplo;Financeiro / Intermediários Financeiros / Bancos;www.brb.com.br
137;BRB BANCO;4;BSLI4;BR;00.000.208/0001-00;O Brb É Uma Instituição Financeira de Economia Mista. Controlada Pelo Governo Do Distrito Federal. Organizada Sob A Forma de Banco Múltiplo;Financeiro / Intermediários Financeiros / Bancos;www.brb.com.br
138;BRC SECURIT;14;Nenhum ativo na B3;BR;08.653.753/0001-08;Aquisição E Securitização de Recebíveis Imobiliários;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;www.bresco.com.br
139;BRF SA;1;BRFS3;BR;01.838.723/0001-27;Holding Operacional;Consumo não Cíclico / Alimentos Processados / Carnes e Derivados;www.brf-br.com
140;BRISTOLMYERS;13;BMYB34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Saúde / Medicamentos e Outros Produtos / Medicamentos e Outros Produtos;www.bms.com
141;BROADCOM INC;9;AVGO34;BDRs DRN Não Patrocinado;00.000.000/0000-00;Não Informado;Não Classificados / Não Classificado / Não Classificados;Não Informado
142;BRPR 55 SEC;14;Nenhum ativo na B3;BR;07.710.591/0001-30;Não Informado;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;www.brpr.com.br
